role,company,exp,salary,location,desc,req
data scientist,"Digital Management, Inc.",5-10 Yrs,Not disclosed,Bengaluru,About the Opportunity You have a strong academic background in statistics and machine l...,"Computer science
Data analysis
Factor analysis
Neural networks
Business analytics
Machine learning
Data processing
data visualization"
"data scientist, advanced analytics",ICL Systems,5-10 Yrs,Not disclosed,Gurgaon,Only ICL Systems offers seamless integration and total visibility in all segments of th...,"Training
Supply chain
Data analysis
Prototype
Network optimization
Machine learning
Debugging
Open source"
walk-in drive for data scientist - march 19,FTD India Pvt. Ltd,3-5 Yrs,Not disclosed,Hyderabad,"You should Know-how on Extract, Transform and Load (ETL) of Big Data in enterprise envi...","PowerShell
Java
Chatbots
Google Dataflow
Text Mining
Machine Learning
Deep Learning
Data Science"
sr. data scientist,Baker Hughes Incorporated,3-8 Yrs,Not disclosed,Bengaluru,"Role Summary: We are looking for a highly motivated individual, passionate about techno...","Computer science
Data analysis
SAS
Coding
Agile
Perl
Ruby
Distribution system"
data scientist,MTW LABS INNOVATIONS INDIA PRIVATE LIMITED,1-5 Yrs,Not disclosed,Hyderabad,Job Description What will a 'Data Scientist - Data Analytics' do Providing a full range...,"Data analysis
SAS
Data modeling
Machine learning
SCALA
Agile
Data mining
JIRA"
data scientist,TERRA TECHNOLOGY,2-6 Yrs,Not disclosed,Pune,"Data Scientist | E2open Careers Twitter Widget Iframe April 11 , Pune , PNQ , IND Job D...","Data analysis
functions
Tools
Perl
Data mining
research
SQL
Supply chain"
sr. data scientist,The Data Team,10-12 Yrs,Not disclosed,"Chennai, Bengaluru",Develop a strong cadence for regular customer outreach programs Requirements Technical:...,"Computer science
Data analysis
Linux
data science
Business analysis
Machine learning
SCALA
test driven development"
data scientist,Denave India Pvt Ltd.,2-5 Yrs,Not disclosed,India,"The role requires deep knowledge in designing , planning , testing and deploying analyt...","Computer science
Data analysis
Team management
RDBMS
Machine learning
Information retrieval
Business intelligence
Data mining"
data scientist - quality assurance,NICE Ltd,3-5 Yrs,Not disclosed,Pune,Brief about the role: Data Science Quality Assurance is a client facing role where the ...,"Data analysis
Manager Quality Assurance
data science
Analytical
Machine learning
Anti money laundering
OLAP
Analytics"
sr. data scientist and machine learning engineer,McAfee Software (India) Pvt. Ltd,5-9 Yrs,Not disclosed,Bengaluru,Role Overview: McAfee is seeking an experienced data scientist to work on our next-gen ...,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
lead - data scientist,BigTapp India Pvt Ltd,5-8 Yrs,Not disclosed,Chennai,Roles & Responsibilities * Lead & mentor the data analysts and data scientists to achie...,"Tensorflow
Data Modelling
Use Cases
Neural Networks
Tableau
Machine Learning
SQL
Data Science"
lead - data scientist,BigTapp Analytics Pte Ltd,5-7 Yrs,Not disclosed,Chennai,"Work with engineering and research teams on designing, building and deploying data anal...","C++
Data analysis
Prototype
SAS
cassandra
Analytical
Actuarial
SPSS"
sr. data scientist,Aera Technology,5-10 Yrs,Not disclosed,Pune,Senior Data Scientist Engineering Do you want to shape the future of enterprise softwar...,"algorithms
SAN
python
Data analysis
software development
Business operations
Computer science
operations"
data scientist - uber eats payments,Uber,3-8 Yrs,Not disclosed,Hyderabad,About the Role We are looking for Data Scientist to join our Uber Payment Network (UPN)...,"Product management
Computer science
Root cause analysis
Business leadership
data science
Analytical
Data Analyst
Analytics"
data scientist,Prolim Infosystems Pvt Ltd.,8-11 Yrs,Not disclosed,Bengaluru,Job Description: Data Scientist Neal Analytics is looking for talented Data Scientists....,"Engineering services
Data analysis
ERP
SAS
Staffing
Project management
Social media
Consulting"
snr data scientist - nbfc,Angel & Genie,5-10 Yrs,Not disclosed,Bengaluru,Job Description Our client is an award - winning leading social impact NBFC based in Be...,"Data analysis
GIT
Analytical
Machine learning
Business intelligence
Analytics
Financial services
SQL"
data scientist,dataspire Technologies Private Limited,2-5 Yrs,Not disclosed,Coimbatore,"Data Scientist will be responsible for developing predictive systems, creating efficien...","C++
Data analysis
development
Prototype
large
software
Tools
developing"
data scientist,Madhees,5-10 Yrs,Not disclosed,Hyderabad,"Job Description : We are looking for Data Scientists, Bachelors and 5+ yrs relevant exp...","Process design
Logistic regression
Data analysis
NPV
Predictive modeling
Business solutions
Statistics
Monitoring"
sr. data scientist,Turings (formerly Tuple),6-11 Yrs,"15,00,000 - 30,00,000 PA.","Delhi NCR, Bengaluru, Hyderabad",We’re looking for Data Scientists to work on our core and business products to help sha...,"deep learning
algorithms
python
data science
Scalability
Data Analysis
Statistical Modeling
data structures"
lead data scientist / machine learning expert,Bidgely Technologies Private Limited,6-9 Yrs,Not disclosed,Bengaluru,Bidgely is looking for extraordinary and dynamic Data Scientists to be part of its core...,"Product management
Computer science
Data analysis
Interpersonal skills
Machine learning
Intellectual property
Data mining
MATLAB"
principal data scientist,AXCESS CONSULTANCY SERVICES,0-3 Yrs,Not disclosed,Delhi,Job Description Please make sure candidate should qualify checklist written below: The ...,"Computer science
Data analysis
Machine learning
SCALA
Apache
microsoft
Adobe
Data mining"
sr. data scientist,CAPITALCLOUD INDIA PRIVATE LIMITED,4-9 Yrs,Not disclosed,Bengaluru,"A completed graduate degree in Computer Science, Engineering or any other heavily numer...","Natural Language Processing
Machine Learning
Deep Learning
Nltk
Tensorflow
NLP
Exploratory Data Analysis
Scikit-Learn"
data scientist,ETAIOTA Systems,2-5 Yrs,Not disclosed,Bhubaneshwar,Key Responsibilities: Assess accuracy of new data sources and data gathering techniques...,"Logistic regression
Data analysis
Simulation
Machine learning
Data mining
Econometrics
Analytics
Financial services"
data scientist,torcai digital media,3-6 Yrs,Not disclosed,Pune,Roles and Responsibilities Understand clients business objectives and strategy to ensur...,"Data analysis
data science
Machine learning
Mentor
Statistics"
data scientist,itForte Staffing Services Private Ltd.,3-8 Yrs,Not disclosed,Gurgaon,- Tackle the challenges of featurizing and modelling large and unstructured data using ...,"Text mining
Computer science
deep learning
Data analysis
Machine learning
Data collection
Agile
Investment management"
data scientist,Demoport.in,3-5 Yrs,Not disclosed,Chennai,"Provide technical oversights to other team members on solution design, system architect...","Computer science
Cluster analysis
System architecture
Solution design
Data analysis
cassandra
Analytical
Data mining"
data scientist,Efftronics Systems Pvt Ltd,5-10 Yrs,Not disclosed,Vijayawada,"About Job Role Responsibilities Knowledge Skills Behavioural Attributes At Efftronics, ...","Data analysis
C++
Data collection
Agile
Service
Predictive modeling
Graphputer science
Data mining"
data architect/data scientist,AxmiYaN HR Solutions Private Limited,5-10 Yrs,Not disclosed,Gurgaon,Immediate Opening for Data Architect /Data Scientist for a Leading Global IT Co at Gurg...,"Training
MS SQL
Database design
Analytical
Data Architect
Database
Data Analyst
Data mining"
data scientist,AXCESS CONSULTANCY SERVICES,0-3 Yrs,Not disclosed,Noida,Please make sure candidate should qualify checklist written below: Ques : Is the candid...,"Supply chain
Data analysis
Statistical analysis
Analytical
Machine learning
Data processing
Data mining
Operations"
sde - data scientist,Zamroo,4-9 Yrs,Not disclosed,Noida,SDE - Data Scientist NOIDA ZAMROO TECHNOLOGY FULL TIME Data Science at Zamroo comprises...,"Computer science
Data analysis
Statistical analysis
Artificial Intelligence
Machine learning
Agile
model development
data visualization"
data scientist,Beno Staffing,2-7 Yrs,Not disclosed,Gurgaon,"Roles and Responsibilities: As a Data Scientist at BluePi, you will : 1. Analyse and ex...","Computer science
Data analysis
PDF
Image processing
Staffing
Machine learning
Natural language processing
Analytics"
sr. data scientist,ExecBoardinAsia,5-10 Yrs,Not disclosed,Pune,They are looking for a Data Scientist who will support their client product development...,"Data analysis
Process optimization
Data mining
Testing"
sr. data scientist,JoinHandsHR,3-8 Yrs,Not disclosed,Mumbai,Require Senior Data Scientist,"Data Scientist
Data Analyst"
data scientist,Dasceq,3-5 Yrs,Not disclosed,Bengaluru,Responsibilities for Data Scientist: Data mine and analyze data from company databases ...,"Computer science
SAN
Data analysis
French
Networking
Coding
Predictive modeling
MS Office"
data scientist,Dasceq,0-1 Yrs,Not disclosed,Bengaluru,Data mine and analyze data from company databases to drive optimization and improvement...,"Computer science
Data analysis
French
Networking
Coding
Predictive modeling
MS Office
Data mining"
data scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,2-7 Yrs,Not disclosed,Mumbai,"Processing, cleansing, and verifying the integrity of data used for analysis Doing ad- ...","Computer science
Data analysis
Tracking
Machine learning
Tools
Data collection
MSC
Data mining"
manager -data scientist,Spectrum Talent Management,5-10 Yrs,Not disclosed,Noida,Roles and Responsibility : Specific skills or requirement - Good knowledge of Statistic...,"Economics
E-learning
advanced analytics
Data analysis
Statistical modeling
Staffing
Mathematics
Talent management"
data scientist,AGUILASS,3-6 Yrs,Not disclosed,"Hyderabad, Gurgaon",Job Description Big Data Eco System like Hadoop and Spark and Scala ML Machine learning...,"spark
SCALA
Machine learning
Hadoop
Data Analyst
Business intelligence
big data
Predictive analytics"
data scientist,QuarkXpress Publishing R and D India Pvt Ltd,5-7 Yrs,Not disclosed,Mohali,"What You ll Do: We are looking for a Data Scientist who will support our product, sales...","Computer science
Data analysis
Business objects
Google Analytics
Coding
MySQL
Javascript
Predictive modeling"
data scientist,Shiras Consulting Pvt. Ltd.,5-10 Yrs,Not disclosed,Bengaluru,Job Description - Data Scientist Understanding and experience with leading supervised a...,"Text mining
Logistic regression
customer segmentation
Data analysis
data science
Neural networks
Network analysis
Machine learning"
data scientist - biotechnology jobs,Right Step Consulting,2-5 Yrs,Not disclosed,Delhi,"Brief Role : Job Description Conducting direct research, data analysis, and other forma...","Mining
Evaluation
Data analysis
Analytical
KPO
Research
Business intelligence
Operations"
data scientist,Korgen Technologies (P) Limited,3-5 Yrs,Not disclosed,Chennai,"• Provide technical oversights to other team members on solution design, system archite...","System architecture
Modification
advanced analytics
Data analysis
Analytical
Map Reduce
Technical
Data mining"
data scientist,Busigence Technologies,2-5 Yrs,Not disclosed,Bengaluru,Data Scientist,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management"
data scientist - image processing/machine learning,CarbyneTech India,6-10 Yrs,Not disclosed,Hyderabad,proficiency with variety of approaches and models from a reputed institute 6-8 years of...,"Data Science
Logistic Regression
Exploratory Data Analysis
Linear Regression
Advanced Analytics
Decision Trees
SVM
Machine Learning"
sr. data scientist / machine learning expert,Bidgely Technologies Private Limited,4-6 Yrs,Not disclosed,Bengaluru,Position Bidgely is looking for extraordinary and dynamic Data Scientists to be part of...,"Product management
Computer science
Data analysis
Statistical analysis
Analytical
Machine learning
Intellectual property
Data mining"
data scientist,AXCESS CONSULTANCY SERVICES,0-5 Yrs,Not disclosed,"Gurgaon, haryana",Job Description: Candidate interested in a Student facing/ interaction role Candidate w...,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
data scientist,AXCESS CONSULTANCY SERVICES,0-5 Yrs,Not disclosed,Chennai,Job Description: Candidate interested in a Student facing/ interaction role Candidate w...,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
data scientist,AXCESS CONSULTANCY SERVICES,0-5 Yrs,Not disclosed,Pune,Job Description: Candidate interested in a Student facing/ interaction role Candidate w...,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
data scientist,AXCESS CONSULTANCY SERVICES,0-5 Yrs,Not disclosed,Bengaluru,Job Description: Candidate interested in a Student facing/ interaction role Candidate w...,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
sr. data scientist,Analytics Vidhya Educon Pvt. Ltd,3-8 Yrs,Not disclosed,Bengaluru,Job description: Qualification and Skills Required PhD degree specializing in a relevan...,"Data analysis
data science
Analytical
Machine learning
HTML
Data mining
Analytics
Financial services"
